x, y
0.0010632642211589678, 5172.609313220876
0.010632642211589558, 13459.603241553643
0.036150983519404545, 12730.302092807233
0.10313662945241892, 3878.9097711234704
0.14779372674109514, 1729.4309457677878
0.19670388091440724, 670.8306594021976
0.24561403508771926, 275.1161777030132
0.25730994152046793, 250.7226378680572
0.2966507177033492, 139.68870472002976
0.3391812865497076, 77.8267746075181
0.35513024986709196, 76.39492627733866
0.37745879851143005, 61.705315988352055
0.39978734715576825, 48.02325719511159
0.4412546517809675, 41.39381781308716
0.44976076555023914, 41.39381781308716
0.4731525784157363, 37.37495213642818
0.4837852206273259, 37.37495213642818
0.505050505050505, 32.81927872511474
0.5284423179160022, 35.02312052777792
0.5539606592238172, 31.62277660168381
0.5688463583200426, 30.75411441943001
0.5890483785220627, 32.81927872511474
0.6007442849548112, 29.359045735093382
0.6103136629452418, 31.330530020876473
0.6251993620414673, 31.330530020876473
0.6390217969165338, 29.63290260014262
0.6496544391281234, 31.917749215658738
0.6666666666666667, 30.469895709035082
0.6932482721956408, 29.909313961792666
0.7049441786283891, 29.359045735093382
0.7283359914938863, 34.06105256359487
0.7474747474747475, 30.75411441943001
0.7783094098883573, 28.28869434625971
0.7995746943115364, 31.330530020876473
0.8219032429558745, 27.768242098727697
0.8399787347155769, 30.469895709035082
0.8516746411483254, 30.469895709035082
0.8686868686868688, 33.12541213510137
0.8878256246677301, 29.909313961792666
0.913343965975545, 29.63290260014262
0.9367357788410419, 32.81927872511474
0.9601275917065392, 28.81890128193502
0.9898989898989897, 34.06105256359487
1.0069112174375332, 32.81927872511474
1.0186071238702818, 29.909313961792666
1.035619351408825, 36.01236248389739
1.0558213716108453, 33.43440111255777
1.086656034024455, 36.348280510043125
1.1089845826687932, 34.69944916417915
1.1259968102073368, 34.37876905749961
1.1345029239766085, 31.62277660168381
1.1472620946305156, 32.81927872511474
1.1632110579479003, 33.12541213510137
1.1834130781499201, 35.67954889401943
1.2068048910154174, 34.37876905749961
1.2280701754385968, 35.67954889401943
1.2535885167464114, 36.348280510043125
1.272727272727273, 33.43440111255777
1.3152578415736311, 39.88471118935226
1.3450292397660817, 35.67954889401943
1.3567251461988303, 32.21547329083804
1.3790536948431686, 35.34981105030109
1.419457735247209, 30.75411441943001
1.4449760765550237, 19.153937435990088
1.468367889420521, 13.211974960367828
1.4843168527379056, 13.211974960367828
1.4981392876129715, 10.47517507787016
1.5151515151515151, 9.725304898682573
1.5332270069112175, 7.158774948942688
1.5459861775651251, 7.639492627733869
1.566188197767145, 5.519954321281573
1.5832004253056886, 6.228089410985902
1.600212652844232, 4.757944314009415
1.6119085592769802, 5.571443644173091
1.6257309941520468, 5.623413251903495
1.6618819776714513, 1.0282453973607195
1.674641148325359, 1.2152829903245501
1.6916533758639023, 2.7768242098727716
1.7118553960659222, 1
1.7299308878256248, 0.7782677460751812
1.7448165869218502, 0.972530489868258
1.76501860712387, 0.7710752692535537
1.7830940988835726, 1
