x, y
1.004059663839665, 6.217859558854357e-7
1.9702304037523521, 0.017781511414915723
3.0121789915189954, 0.08890825347484577
4.01623865535866, 0.16596116285840815
4.98240812336145, 0.34377642623619087
6.043301809046532, 0.6342087659135229
7.028416374967759, 0.924640309704833
7.9566981909534675, 1.2447082613164555
9.017591876638548, 1.5588488517754124
9.983762616551235, 1.938188425198625
10.968877182472463, 2.359017934918446
12.010825770239107, 2.803556491305913
12.976996510151793, 3.2125320746064263
14.018945097918436, 3.5977986112392926
15.004059663839664, 3.9475023737567096
15.989174229760891, 4.255715603063003
17.031122817527535, 4.546147544797324
18.01623738344876, 4.759525980233565
18.98240812336145, 4.9847587400321265
20.024356711128092, 5.144792715837938
21.00947127704932, 5.304826492672243
21.975642016962006, 5.447078882448824
23.03653443073719, 5.553768100166945
24.00270517064988, 5.660457317885066
24.968875910562566, 5.749365049059711
26.02976832433775, 5.861981428958991
26.995939064250436, 5.9449619979524755
28.03788765201708, 6.01608814309789
